nOrgNum,sCommonName,sFormulaMolec,source_file,sCASRegistryNum
1,"1,2-ethanediol",C2H6O2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-5568-4.xml,
2,diethylene glycol,C4H10O3,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-5568-4.xml,
3,triethylene glycol,C6H14O4,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-5568-4.xml,
4,tetraethylene glycol,C8H18O5,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-5568-4.xml,
1,methane,CH4,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-5566-6.xml,
2,carbon dioxide,CO2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-5566-6.xml,
1,potassium sulfate,K2O4S,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-5567-5.xml,
2,water,H2O,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-5567-5.xml,
1,3-methylbutyl ethanoate,C7H14O2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-5571-9.xml,
2,ethyl propenoate,C5H8O2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-5571-9.xml,
3,butyl 2-propenoate,C7H12O2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-5571-9.xml,
4,methyl methacrylate,C5H8O2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-5571-9.xml,
5,styrene,C8H8,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-5571-9.xml,
1,methanol,CH4O,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-8091-8.xml,
1,iridium,Ir,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-5585-3.xml,
1,hexane,C6H14,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-5572-8.xml,
2,cyclohexane,C6H12,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-5572-8.xml,
3,decane,C10H22,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-5572-8.xml,
4,hexadecane,C16H34,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-5572-8.xml,
5,"2,6,10,15,19,23-hexamethyltetracosane",C30H62,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-5572-8.xml,
1,ethyl acetate,C4H8O2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-5570-x.xml,
2,dibromomethane,CH2Br2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-5570-x.xml,
3,bromochloromethane,CH2BrCl,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-5570-x.xml,
4,"1,2-dichloroethane",C2H4Cl2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-5570-x.xml,
5,1-bromo-2-chloroethane,C2H4BrCl,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-5570-x.xml,
1,propan-2-ol,C3H8O,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-8101-x.xml,
2,propan-1-ol,C3H8O,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-8101-x.xml,
3,butan-1-ol,C4H10O,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-8101-x.xml,
4,octan-1-ol,C8H18O,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-8101-x.xml,
5,hexan-1-ol,C6H14O,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-8101-x.xml,
1,dimethyl sulfoxide,C2H6OS,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-8102-9.xml,
4,heptan-1-ol,C7H16O,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-8102-9.xml,
1,toluene,C7H8,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-8089-2.xml,
2,ethanol,C2H6O,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-8089-2.xml,
1,butyl ethanoate,C6H12O2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-8096-3.xml,
3,ethylbenzene,C8H10,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-8096-3.xml,
4,"1,4-dimethylbenzene",C8H10,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-8096-3.xml,
5,"1,3,5-trimethylbenzene",C9H12,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-8096-3.xml,
6,isopropylbenzene,C9H12,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-8096-3.xml,
7,butylbenzene,C10H14,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-8096-3.xml,
8,(2-methylpropyl)benzene,C10H14,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-8096-3.xml,
9,"(1,1-dimethylethyl)benzene",C10H14,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-8096-3.xml,
1,difluoromethane,CH2F2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-8591-6.xml,
2,pentafluoroethane,C2HF5,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-8591-6.xml,
1,ammonia,H3N,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-8590-7.xml,
1,propane,C3H8,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-8592-5.xml,
2,2-methylpropane,C4H10,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-005-8592-5.xml,
1,1-butyl-3-methylimidazolium tetrafluoroborate,C8H15BF4N2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0020-y.xml,
2,1-butyl-3-methylimidazolium hexafluorophosphate,C8H15F6N2P,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0020-y.xml,
2,nitrous oxide,N2O,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0033-6.xml,
1,dimethyl methanephosphonate,C3H9O3P,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0044-3.xml,
1,hafnium,Hf,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0045-2.xml,
1,propan-1-amine,C3H9N,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0047-0.xml,
2,2-methoxyethan-1-ol,C3H8O2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0047-0.xml,
3,2-(2-methoxyethoxy)ethanol,C5H12O3,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0047-0.xml,
4,2-[2-(2-methoxyethoxy)ethoxy]ethanol,C7H16O4,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0047-0.xml,
5,"3,6-dioxa-1-octanol",C6H14O3,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0047-0.xml,
6,"3,6-dioxa-1-decanol",C8H18O3,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0047-0.xml,
7,diethylene glycol diethyl ether,C8H18O3,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0047-0.xml,
8,"5,8,11-trioxapentadecane",C12H26O3,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0047-0.xml,
3,"1,1,1-trifluoroethane",C2H3F3,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0052-3.xml,
1,mercury,Hg,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0057-y.xml,
2,gallium,Ga,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0057-y.xml,
3,tin,Sn,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0057-y.xml,
4,indium,In,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0057-y.xml,
1,butane,C4H10,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0053-2.xml,
3,octane,C8H18,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0053-2.xml,
1,nonane,C9H20,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0079-5.xml,
1,"1,4-dioxane",C4H8O2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0063-0.xml,
2,cyclopentane,C5H10,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0063-0.xml,
4,benzene,C6H6,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0063-0.xml,
5,"1,3-dioxolane",C3H6O2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0063-0.xml,
1,zirconium,Zr,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0080-z.xml,
1,trifluoromethane,CHF3,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0082-x.xml,
1,hexafluorobenzene,C6F6,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0092-8.xml,
1,argon,Ar,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0093-7.xml,
2,triethylamine,C6H15N,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0095-5.xml,
3,tributylamine,C12H27N,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0095-5.xml,
1,1-chlorobutane,C4H9Cl,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0100-z.xml,
2,2-chloro-2-methylpropane,C4H9Cl,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0100-z.xml,
3,2-chlorobutane,C4H9Cl,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0100-z.xml,
4,1-chloro-2-methylpropane,C4H9Cl,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0100-z.xml,
5,tetrahydropyran,C5H10O,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0100-z.xml,
1,"1,2-dimethoxyethane",C4H10O2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0110-x.xml,
2,"2,5,8-trioxanonane",C6H14O3,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0110-x.xml,
1,glycerol,C3H8O3,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0096-4.xml,
2,potassium chloride,ClK,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0096-4.xml,
4,potassium bromide,BrK,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0096-4.xml,
5,potassium iodide,IK,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0096-4.xml,
1,sodium nitrate,NNaO3,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0119-1.xml,
1,"1,1,1,2,3,3,3-heptafluoropropane",C3HF7,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-006-0122-6.xml,
1,lead,Pb,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-007-0151-9.xml,
3,germanium,Ge,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-007-0151-9.xml,
4,silicon,Si,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-007-0151-9.xml,
1,tetrahydrofuran,C4H8O,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-007-0169-z.xml,
1,hydrogen sulfide,H2S,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-007-0185-z.xml,
3,sodium molybdate,MoNa2O4,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-007-0220-0.xml,
1,aniline,C6H7N,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-007-0204-0.xml,
4,2-methyl-1-propanol,C4H10O,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-007-0204-0.xml,
5,2-methylpropan-2-ol,C4H10O,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-007-0204-0.xml,
2,perfluorohexane,C6F14,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-007-0237-4.xml,
2,1-hexyl-3-methylimidazolium hexafluorophosphate,C10H19F6N2P,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-007-0241-8.xml,
3,1-octyl-3-methylimidazolium hexafluorophosphate,C12H23F6N2P,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-007-0241-8.xml,
1,"1,1,1,2,3,3-hexafluoropropane",C3H2F6,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-007-0369-6.xml,
1,diisopropyl ether,C6H14O,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-007-0346-0.xml,
2,dibutyl ether,C8H18O,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-007-0346-0.xml,
3,2-methoxy-2-methylpropane,C5H12O,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-007-0346-0.xml,
4,3-methylpentane,C6H14,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-007-0346-0.xml,
6,heptane,C7H16,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-007-0346-0.xml,
2,acetonitrile,C2H3N,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-008-0395-z.xml,
3,"N,N-dimethylethanamide",C4H9NO,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-008-0395-z.xml,
2,trichloromethane,CHCl3,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-008-0390-4.xml,
3,chlorobenzene,C6H5Cl,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-008-0399-8.xml,
4,bromobenzene,C6H5Br,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-008-0399-8.xml,
5,nitrobenzene,C6H5NO2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-008-0399-8.xml,
5,"2,2,4-trimethylpentane",C8H18,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-007-0223-x.xml,
1,ethane,C2H6,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-008-0482-1.xml,
1,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,C8H11F6N3O4S2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-008-0497-7.xml,
